Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0001,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,92 minutes,Software,Pending,7,neutral
CONV-0002,Software installation failure,Reinstall the printer drivers.,76 minutes,Account,Pending,8,negative
CONV-0003,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,50 minutes,Network,Resolved,8,neutral
CONV-0004,Forgot password,Reset your password using the link provided.,97 minutes,Performance,Pending,26,neutral
CONV-0005,Software installation failure,Follow the software installation guide.,110 minutes,Performance,Pending,27,negative
CONV-0006,Unable to access email,Follow the software installation guide.,22 minutes,Performance,Resolved after follow-up,32,neutral
CONV-0007,Unable to access email,Run a system diagnostic tool.,12 minutes,Hardware,Resolved after follow-up,32,neutral
CONV-0008,Unable to access email,Reinstall the printer drivers.,10 minutes,Hardware,Escalated,53,neutral
CONV-0009,Blue screen error,Run a system diagnostic tool.,120 minutes,Software,Pending,11,negative
CONV-0010,Printer not responding,Reinstall the printer drivers.,94 minutes,Hardware,Pending,37,neutral
CONV-0011,Software installation failure,Verify your email settings.,45 minutes,Account,Escalated,18,negative
CONV-0012,Blue screen error,Reset your password using the link provided.,9 minutes,Network,Resolved,22,negative
CONV-0013,Slow system performance,Clear cache and remove unnecessary programs.,79 minutes,Account,Pending,8,neutral
CONV-0014,Blue screen error,Restart your router.,76 minutes,Software,Resolved after follow-up,4,negative
CONV-0015,Blue screen error,Reset your password using the link provided.,35 minutes,Software,Escalated,6,negative
CONV-0016,Slow system performance,Restart your router.,48 minutes,Hardware,Resolved,59,neutral
CONV-0017,Forgot password,Reinstall the printer drivers.,69 minutes,Network,Resolved after follow-up,8,neutral
CONV-0018,Unable to access email,Run a system diagnostic tool.,91 minutes,Software,Resolved after follow-up,7,neutral
CONV-0019,Printer not responding,Restart your router.,30 minutes,Account,Resolved after follow-up,17,neutral
CONV-0020,Software installation failure,Reset your password using the link provided.,97 minutes,Performance,Escalated,11,negative
CONV-0021,Unable to access email,Verify your email settings.,99 minutes,Software,Resolved after follow-up,9,neutral
CONV-0022,Cannot connect to Wi-Fi,Verify your email settings.,15 minutes,Network,Escalated,17,neutral
CONV-0023,Forgot password,Run a system diagnostic tool.,93 minutes,Hardware,Pending,50,neutral
CONV-0024,Printer not responding,Run a system diagnostic tool.,54 minutes,Account,Resolved after follow-up,16,neutral
CONV-0025,Blue screen error,Clear cache and remove unnecessary programs.,58 minutes,Network,Pending,25,negative
CONV-0026,Slow system performance,Run a system diagnostic tool.,99 minutes,Performance,Resolved,10,neutral
CONV-0027,Software installation failure,Follow the software installation guide.,13 minutes,Software,Pending,5,negative
CONV-0028,Forgot password,Restart your router.,60 minutes,Software,Resolved after follow-up,11,neutral
CONV-0029,Unable to access email,Clear cache and remove unnecessary programs.,23 minutes,Software,Resolved after follow-up,9,neutral
CONV-0030,Software installation failure,Restart your router.,87 minutes,Hardware,Resolved after follow-up,41,negative
CONV-0031,Software installation failure,Follow the software installation guide.,65 minutes,Network,Resolved after follow-up,12,negative
CONV-0032,Printer not responding,Reinstall the printer drivers.,56 minutes,Hardware,Resolved,16,neutral
CONV-0033,Slow system performance,Reinstall the printer drivers.,48 minutes,Hardware,Resolved,11,neutral
CONV-0034,Slow system performance,Reset your password using the link provided.,5 minutes,Performance,Escalated,14,neutral
CONV-0035,Unable to access email,Follow the software installation guide.,113 minutes,Network,Resolved,18,neutral
CONV-0036,Blue screen error,Reinstall the printer drivers.,52 minutes,Hardware,Resolved,51,negative
CONV-0037,Blue screen error,Restart your router.,9 minutes,Performance,Resolved after follow-up,21,negative
CONV-0038,Forgot password,Follow the software installation guide.,37 minutes,Software,Resolved,4,neutral
CONV-0039,Blue screen error,Clear cache and remove unnecessary programs.,86 minutes,Network,Escalated,13,negative
CONV-0040,Software installation failure,Run a system diagnostic tool.,5 minutes,Performance,Pending,26,negative
CONV-0041,Cannot connect to Wi-Fi,Follow the software installation guide.,67 minutes,Performance,Resolved,10,neutral
CONV-0042,Printer not responding,Restart your router.,73 minutes,Account,Escalated,7,neutral
CONV-0043,Slow system performance,Reset your password using the link provided.,66 minutes,Software,Resolved,3,neutral
CONV-0044,Software installation failure,Follow the software installation guide.,58 minutes,Hardware,Resolved after follow-up,38,negative
CONV-0045,Printer not responding,Reset your password using the link provided.,120 minutes,Software,Escalated,11,neutral
CONV-0046,Forgot password,Clear cache and remove unnecessary programs.,55 minutes,Performance,Pending,41,neutral
CONV-0047,Forgot password,Follow the software installation guide.,120 minutes,Software,Resolved,3,neutral
CONV-0048,Software installation failure,Clear cache and remove unnecessary programs.,66 minutes,Network,Pending,18,negative
CONV-0049,Slow system performance,Reset your password using the link provided.,25 minutes,Hardware,Resolved,23,neutral
CONV-0050,Software installation failure,Restart your router.,119 minutes,Performance,Escalated,17,negative
CONV-0051,Unable to access email,Clear cache and remove unnecessary programs.,71 minutes,Performance,Escalated,33,neutral
CONV-0052,Unable to access email,Follow the software installation guide.,58 minutes,Software,Resolved,11,neutral
CONV-0053,Forgot password,Run a system diagnostic tool.,107 minutes,Performance,Escalated,38,neutral
CONV-0054,Slow system performance,Verify your email settings.,91 minutes,Software,Escalated,2,neutral
